	Das Gilgamesh-epos	Beck
Nietzsche, Friedrich	Kritische Studienausgabe V	dtv
Nietzsche, Friedrich	Kritische Studienausgabe VI	dtv
Nietzsche, Friedrich	Morgenröthe	Meiner
Noble, Denis	The Music of Life	Oxford
Nossack, Hans Erich	Spirale	Suhrkamp
Nossack, Hans Erich	Spätestens im November	Suhrkamp
Orwell, George	1984	Signet
Orwell, George	Animal Farm	Longman
Osborne, John	Look back in Anger	Penguin
O’Brien, Flann	Fuer Boshafte	Insel
O’Brien, Flann	Irischer Lebenslauf	Suhrkamp
O’Brien, Flann	The Complete Novels	Everyman’s Library
Pascal, Blaise	Gedanken	Anaconda
Pascal, Blaise	Human Happiness	Penguin books
Pasternak, Boris	Doctor Zhivago	Everyman’s Library
Paul Feyerabend	Wider den Methodenzwang	Suhrkamp
Pearl, Judea and Mackenzie, Dana	The Book of Why	Basic Books
Pindar	Oden	Reclam
Plath, Sylvia	Sonntag bei den Mintons	Frankfurter
Platon	Apologie des Sokrates	reclam
Platon	Der Staat	Anaconda
Platon	Phaidon	reclam
Platon	Symposion	Estias
Platon	Symposion	reclam
Platon	Sämtliche Werke - Band 1	rororo
Platon	Sämtliche Werke - Band 2	rororo
Platon	Theaetet	Suhrkamp
Plechanow, Georgi	Anarchismus und Sozialismus	BMV
Plenzdorf, Ulrich	Die neuen Leiden des jungen W.	Suhrkamp
Popper, Karl	Logik der Forschung	Mohr Siebeck
Popper, Karl	The Open Society and its Enemies, Volumne One	Routledge Classics
Popper, Karl	The Open Society and its Enemies, Volumne Two	Routledge Classics
Prantl, Heribert	Die Kraft der Hoffnung	SZ
Prideaux, Sue	I am Dynamite!	Tum Duggan Books
Proust, Marcel	Auf der Suche nach der Verlorenen Zeit - In Swanns Welt	Suhrkamp
Puerto, Carlos	Der Blick	Arena
Pyle, Howard	Robin Hood	LeseRiese
Pynchon, Thomas	Gravity’s Rainbow	Vintage
Pynchon, Thomas	Inherent Vice	Vintage
Pynchon, Thomas	Natuerliche Maengel	Buechergilde
Pynchon, Thomas	The Crying of Lot 49	Vintage
Pynchon, Thomas	V	Vintage
Rand, Ayn	Atlas Shrugged	Signet
Rand, Ayn	The Fountainhead	Signet
Rapp, Christof	Aristoteles zur Einführung	Junius
Rasmussen, Dennis	Infidel and the Professor	Princeton University Press
Rauprich, Nina	Wenzel	Ellermann
Rawls, John	Eine Theorie der Gerechtigkeit	Suhrkamp
Rawls, John	Geschichte der politischen Philosophie	Suhrkamp
Regener, Sven	Herr Lehmann	Goldmann
Regener, Sven	Neue Vahr Süd	Goldmann
Remarque, Erich Maria	Im Westen nichts Neues	Kiwi
Rilke, Rainer Maria	Die Aufzeichnungen des Malte Laurids Brigge	Insel
Rimbaut, Arthur	Das Trunkene Schiff	Inselverlag
Rousseau, Jean-Jacques	Abhandlung über den Ursprung und die Grundlagen der Ungleichheit unter den Menschen	reclam
Rousseau, Jean-Jacques	Emil oder Über die Erziehung	UTB
Rousseau, Jean-Jacques	Träumereien eines einsamen Spaziergängers	reclam
Rousseau, Jean-Jacques	Vom Gesellschaftsvertrag	reclam
Rowling, Joanne K.	Harry Potter and the Deathly Hallows	Bloomsbury
Rowling, Joanne K.	Harry Potter and the Goblet of Fire	Bloomsbury
Rowling, Joanne K.	Harry Potter und der Feuerkelch	Carlsen
Rowling, Joanne K.	Harry Potter und der Gefangene von Askaban	Carlsen
Rowling, Joanne K.	Harry Potter und die Kammer des Schreckens	Carlsen
Rowling, Joanne K.	The Casual Vacancy	LB
Russel, Bertrand	Philosophie des Abendlands	Anaconda
Russel, Willy	Educating Rita	reclam
Safranski, Ruediger	Wieviel Wahrheit braucht der Mensch?	Fischer
Sagan, Carl	Cosmos	Ballantine
Saki	Die Verschwiegenheit der Lady Anne	Büchergilde
Salinger, Jerome David	The Catcher in the Rye	Back bay
Salinger, Jerome David	The Catcher in the Rye	LB
Sandel, Michael	Justice	FSG
Sandel, Michael	Moral und Politik	Ullstein
Sarasin, Philipp	Michel Foucault zur Einführung	Junius
Sartre, Jean-Paul	Bariona und Die Fliegen	rororo
Sartre, Jean-Paul	Das Sein und das Nichts	rororo
Sartre, Jean-Paul	Das Spiel ist aus	rororo
Sartre, Jean-Paul	Der Aufschub	rororo
Sartre, Jean-Paul	Der Ekel	rororo
Sartre, Jean-Paul	Der Existentialismus ist ein Humanismus	rororo
Sartre, Jean-Paul	Der Pfahl im Fleische	rororo
Sartre, Jean-Paul	Der Teufel und der liebe Gott	rororo
Sartre, Jean-Paul	Die Eingeschlossenen von Altona	rororo
Sartre, Jean-Paul	Die Kindheit eines Chefs	Buechergilde
Sartre, Jean-Paul	Die Schmutzigen Hände	rororo
Sartre, Jean-Paul	Die Transzendenz des Ego	rororo
Sartre, Jean-Paul	Geschlossene Gesellschaft	rororo
Sartre, Jean-Paul	Zeit der Reife	rororo
Schami, Rafik	Die Sehnsucht der Schwalbe	dtv
Schenkel, Maria	Tannöd	Natutilus
Schiller, Friedrich	Die Räuber	reclam
Schiller, Friedrich	Dramen I	Insel
Schiller, Friedrich	Dramen II	Insel
Schiller, Friedrich	Kabale und Liebe	reclam
Schiller, Friedrich	Wallenstein	reclam
Schlink, Bernhard	Der Vorleser	Diogenes
Schlink, Bernhard	Die Heimkehr	Diogenes
Schmitt, Arno	Kosmas	Fischer
Schmitt, Eric-Emanuelle	Adolf H.	Fischer
Schneider, Helge	Aprikose, Banane Erdbeer	Kiwi
Schneider, Helge	Bonbon aus Wurst	Kiwi
Schneider, Peter	Skylla	Rowohlt
Schneider, Robert	Schlafes Bruder	reclam
Schwaabe, Christian	Politische Theorie 1	UTB
Schwaabe, Christian	Politische Theorie 2	UTB
Schwab, Gustav	Sagen des klassischen Altertums	Anaconda
Schwandt, Michael	Kritische Theorie	Schmetterling
Schweitzer, Albert	Kultur und Ethik	Beck
Schäfer, Rainer	Hegel - Einführung	UTB
Sepulveda, Luis	Der Alte, der Liebesromane Las	Büchergilde
Shakespeare, William	A Midsummer Night's Dream	Oxford
Shakespeare, William	Cymbeline	Amazon Printing
Shakespeare, William	Cymbeline	Ars vivendi
Shakespeare, William	Hamlet	Ars vivendi
Shakespeare, William	Hamlet	reclam
Shakespeare, William	Hamlet	reclam
